,Avg. Wages (Annual),Avg. Work Hours (Annual),COU,Confidence in national government,Country,Delivery Quality,Democratic Quality,Freedom to make life choices,GDP (constant 2010 US$),Healthy life expectancy at birth,Happiness Index,Log GDP per capita,Negative affect,Perceptions of corruption,Population density,Positive affect,Probability of dying at age 5-14,Social support,Standard deviation of ladder,Year,Gini household income
86,23445.50559,1824.0,POL,0.26862874600000003,Poland,0.769939899,1.056877136,0.811301708,511396000000.0,67.62000275,5.87593174,10.05268764,0.266746789,0.8878958229999999,124.3000588,0.7874891759999999,0.0,0.935923874,1.88393259,2012,0.347640306
87,25294.18881,1698.0,PRT,0.230625153,Portugal,0.971928477,0.90190047,0.773821414,224526000000.0,71.19999695,4.9939622880000005,10.15835667,0.370169967,0.959288418,114.8034065,0.728934467,0.0,0.86603862,2.494402647,2012,0.425317734
88,34227.66164,1644.6,SVN,0.238065988,Slovenia,0.879258931,0.96744442,0.904386282,47035305258.0,69.59999847,6.062891006,10.23913479,0.283989847,0.8907541040000001,102.1140519,0.656376362,0.0,0.924753785,2.095799685,2012,0.33938545
89,41581.03568,1478.0,SWE,0.6264972089999999,Sweden,2.032324076,1.430477619,0.944382191,500510000000.0,72.05999756,7.560147762000001,10.67609787,0.170226127,0.253543109,23.36960279,0.855099976,0.0,0.929397464,1.587887406,2012,0.319790423
90,60047.20521,1783.0,USA,0.348855615,United States,1.467069626,0.897014558,0.822662294,15567000000000.0,68.66000366,7.026226997,10.83013153,0.259643853,0.71003443,34.31286833,0.833771288,0.0,0.903192282,2.163159847,2012,0.6290693279999999
91,53977.41911,1689.38,AUS,0.455871463,Australia,1.75117445,1.233743429,0.933379173,1250080000000.0,72.5,7.3641691210000015,10.67169762,0.177142262,0.431539029,3.0105735260000004,0.818835258,0.0,0.928205192,1.737719178,2013,0.381207496
92,49896.49234,1525.0,AUT,0.417099237,Austria,1.620333314,1.410333991,0.921734452,406195000000.0,71.81999969,7.498802662,10.6987648,0.162603319,0.6789368990000001,102.7471302,0.787312806,0.0,0.949809194,1.861462116,2013,0.359079063
93,52221.57803,1558.0,BEL,0.554124534,Belgium,1.502777338,1.156564236,0.8907110690000001,494389000000.0,71.16000366,7.10366106,10.61957264,0.21713894600000005,0.573664308,368.5405218,0.797417402,0.0,0.909186184,1.5017786030000002,2013,0.330040932
94,48191.59919,1716.0,CAN,0.505976021,Canada,1.79271102,1.257454157,0.916013896,1735100000000.0,72.68000031,7.593793869,10.6534729,0.262850314,0.406236142,3.865654736,0.8512969020000001,0.0,0.936239362,1.658059239,2013,0.552203357
95,26583.78961,2015.0,CHL,0.3072685,Chile,1.416341901,0.735013962,0.7368873359999999,254105000000.0,69.31999969,6.74015379,9.998721123,0.285453886,0.741154909,23.48652279,0.855062187,0.0,0.862404704,2.101323128,2013,0.466638207
96,22846.09946,1763.0,CZE,0.242542624,Czech Republic,0.8114690179999999,1.034656048,0.725945652,208464000000.0,68.51999664,6.697655677999999,10.25343132,0.252652615,0.91589886,136.15995859999998,0.719957829,0.0,0.8880433440000001,1.999548912,2013,0.293449998
97,46277.16566,1362.7,DEU,0.557760656,Germany,1.639718533,1.167083979,0.894312978,3577010000000.0,71.13999939,6.9651250839999985,10.66696453,0.204995915,0.56579423,231.1557126,0.743487358,0.0,0.931420565,1.821391582,2013,0.376836538
98,52260.70461,1426.0,DNK,0.391405106,Denmark,2.026952028,1.312752008,0.920254648,330091000000.0,71.05999756,7.588606834,10.70469189,0.194673792,0.170042172,133.7206954,0.862346828,0.0,0.964707971,1.721857905,2013,0.38676554
99,39391.29533,1693.5,ESP,0.184549659,Spain,1.004293799,0.500444174,0.759356439,1352360000000.0,73.26000214,6.150027275,10.33133125,0.371839374,0.915822566,93.20094559999998,0.6962958570000001,0.0,0.928640485,2.076715708,2013,0.361005485
100,21459.59192,1801.0,EST,0.260637581,Estonia,1.202389479,0.932532012,0.753558695,22298647062.0,67.48000336,5.367445946,10.17667389,0.199018165,0.726356387,30.31969174,0.702255547,0.0,0.900721788,1.825384974,2013,0.358570963
101,43245.26697,1565.0,FIN,0.420593739,Finland,2.041153908,1.47943902,0.918625355,248646000000.0,71.12000275,7.444635868,10.58223915,0.194672555,0.305770457,17.89783145,0.7689573759999999,0.0,0.940869093,1.56188035,2013,0.412970424
102,43012.54154,1526.0,FRA,0.395130515,France,1.3488167519999998,0.833995342,0.8777957559999999,2724620000000.0,72.80000305,6.66712141,10.52809525,0.204969689,0.6990693809999999,120.5329508,0.8001360890000001,0.0,0.907690823,1.922264218,2013,0.341182142
