,Avg. Wages (Annual),Avg. Work Hours (Annual),Confidence in national government,Democratic Quality,Freedom to make life choices,GDP (constant 2010 US$),Healthy life expectancy at birth,Happiness Index,Log GDP per capita,Perceptions of corruption,Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Social support,"gini of household income reported in Gallup, by wp5-year"
45,38438,1773,0,0,0,2137310000000,72,6,10,0,201,0,0,0
46,41082,1728,0,1,0,5693520000000,73,6,10,0,350,0,0,0
47,19367,1621,0,0,0,39363759100,64,5,10,0,48,0,0,0
48,61213,1515,0,1,0,54563666562,71,7,11,0,213,0,0,0
49,17541,1753,0,0,0,25273331011,64,4,9,0,33,0,0,0
50,16328,2121,0,0,0,1096550000000,66,6,9,0,61,0,0,0
51,54140,1420,0,1,0,859687000000,71,7,10,0,495,0,0,0
52,38803,1746,0,1,0,150535000000,72,7,10,0,16,0,0,0
53,23654,1829,0,1,0,503303000000,67,5,10,0,124,0,0,0
54,26436,1714,0,0,0,233950000000,71,5,10,0,115,0,0,0
55,35340,1663,0,1,0,48325391228,69,6,10,0,101,0,0,0
56,40680,1491,0,1,0,502008000000,71,7,10,0,23,0,0,0
57,59562,1780,0,0,0,15224600000000,68,7,10,0,34,0,0,0
58,54226,1692,0,1,0,1217930000000,72,7,10,0,2,0,0,0
59,49835,1540,0,1,0,406092000000,71,7,10,0,102,0,0,0
60,51550,1560,0,1,0,493399000000,71,6,10,0,366,0,0,0
61,47275,1722,0,1,0,1693190000000,72,7,10,0,3,0,0,0
62,63207,1603,0,1,0,599638000000,72,7,10,0,202,0,0,0
63,25914,2024,0,0,0,244226000000,69,6,9,0,23,0,0,0
64,23089,1776,0,1,0,209477000000,68,6,10,0,136,0,0,0
65,45725,1375,0,1,0,3559590000000,71,6,10,0,230,0,0,0
66,51923,1423,0,1,0,327039000000,70,7,10,0,133,0,0,0
67,39301,1701,0,0,0,1375820000000,73,6,10,0,93,0,0,0
68,21161,1820,0,0,0,21875027648,67,5,10,0,31,0,0,0
69,43715,1575,0,1,0,250545000000,70,7,10,0,17,0,0,0
70,42654,1541,0,0,0,2709010000000,72,6,10,0,119,0,0,0
71,44006,1531,0,0,0,2529320000000,71,6,10,0,263,0,0,0
72,28108,1966,0,0,0,252163000000,71,5,10,0,85,0,0,0
73,20852,1750,0,0,0,130922000000,65,4,10,0,109,0,0,0
74,48153,1707,0,1,0,230820000000,71,6,10,0,66,0,0,0
75,48049,1510,0,1,0,14121903068,72,7,10,0,3,0,0,0
76,33166,1918,0,0,0,250536000000,72,7,10,0,365,0,0,0
77,37279,1734,0,0,0,2077060000000,72,5,10,0,202,0,0,0
78,40380,1745,0,1,0,5778640000000,74,5,10,0,350,0,0,0
79,19671,1620,0,0,0,40870192058,64,5,10,0,47,0,0,0
80,60707,1508,0,1,0,54371319074,72,6,11,0,218,0,0,0
81,18272,1738,0,0,0,26293015996,65,5,9,0,32,0,0,0
82,16050,2120,0,0,0,1136490000000,66,7,9,0,62,0,0,0
83,54362,1411,0,1,0,850829000000,71,7,10,0,496,0,0,0
84,49465,1419,0,1,0,445095000000,72,7,11,0,13,0,0,0
85,39621,1734,0,1,0,154298000000,72,7,10,0,16,0,0,0
86,23445,1824,0,1,0,511396000000,67,5,10,0,124,0,0,0
87,25294,1698,0,0,0,224526000000,71,4,10,0,114,0,0,0
88,34227,1644,0,0,0,47035305258,69,6,10,0,102,0,0,0
89,41581,1478,0,1,0,500510000000,72,7,10,0,23,0,0,0
90,60047,1783,0,0,0,15567000000000,68,7,10,0,34,0,0,0
