COU,Country,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
SLE,Sierra Leone,2578026297.0,0.0,0.0,89.48074259,30.6,2010
SLV,El Salvador,18447922400.0,43.5,84.49272156,297.5205598,4.5,2010
SMR,San Marino,2139072848.0,0.0,0.0,518.5,0.9,2010
SOM,Somalia,0.0,0.0,0.0,19.21322249,29.8,2010
SRB,Serbia,39460357731.0,29.0,0.0,83.3688086,1.5,2010
SSD,South Sudan,0.0,0.0,0.0,0.0,20.9,2010
SUR,Suriname,4368398048.0,0.0,94.67575073,3.372455128,3.9,2010
SVK,Slovak Republic,89501012916.0,27.3,0.0,112.10887460000001,1.6,2010
SVN,Slovenia,48013606745.0,24.9,0.0,101.68582690000001,1.0,2010
SWE,Sweden,488909000000.0,27.7,0.0,22.85452552,0.9,2010
SWZ,Eswatini,4438778424.0,0.0,83.09828949,69.93273256,13.0,2010
SXM,Sint Maarten (Dutch part),0.0,0.0,0.0,1001.647059,0.0,2010
SYC,Seychelles,969936525.3,0.0,93.95423126,195.1521739,2.9,2010
TCA,Turks and Caicos Islands,0.0,0.0,0.0,32.62526316,0.0,2010
TCD,Chad,10657705536.0,0.0,0.0,9.440281131,32.5,2010
TGO,Togo,3426022206.0,0.0,0.0,119.56153700000002,25.3,2010
THA,Thailand,341105000000.0,39.4,96.4309082,131.5524046,5.2,2010
TJK,Tajikistan,5642178580.0,0.0,0.0,54.59867105,5.4,2010
TKM,Turkmenistan,22583157895.0,0.0,0.0,10.82546337,4.1,2010
TLS,Timor-Leste,3998900000.0,0.0,58.30897903,74.61943509999999,10.0,2010
TON,Tonga,369485198.8,0.0,0.0,144.63472219999997,3.7,2010
TTO,Trinidad and Tobago,22157253321.0,0.0,98.69999695,258.8888889,3.0,2010
TUN,Tunisia,44050929160.0,35.8,79.13057709,68.48565268,3.7,2010
TUR,Turkey,771902000000.0,38.8,92.66059875,93.97621454,4.1,2010
TUV,Tuvalu,31823518.62,39.1,0.0,351.03333330000004,5.7,2010
TZA,Tanzania,32014249841.0,0.0,67.80069733,52.04175999,13.9,2010
UGA,Uganda,20186496527.0,0.0,73.21188354,169.1359116,17.4,2010
UKR,Ukraine,136013000000.0,24.8,0.0,79.18024581,2.7,2010
URY,Uruguay,40284481652.0,44.5,98.07270813,19.28016798,2.1,2010
USA,United States,14992100000000.0,40.4,0.0,33.81566442,1.3,2010
UZB,Uzbekistan,39332770929.0,0.0,0.0,67.14245416,3.4,2010
VCT,St. Vincent and the Grenadines,681225963.0,0.0,0.0,280.2948718,4.1,2010
VGB,British Virgin Islands,0.0,0.0,0.0,181.49333330000002,0.0,2010
VNM,Vietnam,115932000000.0,39.3,0.0,285.3307705,3.7,2010
VUT,Vanuatu,700804286.2,37.6,0.0,19.38433142,5.4,2010
WSM,Samoa,643046733.4,0.0,0.0,65.79681979,3.9,2010
XKX,Kosovo,5830463576.0,33.3,0.0,163.1009461,0.0,2010
ZAF,South Africa,375349000000.0,63.4,92.87731934,42.52336018,13.3,2010
ZMB,Zambia,20265556274.0,55.6,83.00766754,18.6309111,17.3,2010
ZWE,Zimbabwe,12041655200.0,0.0,0.0,36.41286545,15.9,2010
ABW,Aruba,2472880828.0,0.0,0.0,566.9611111,0.0,2011
AFG,Afghanistan,15924179998.0,0.0,31.74111938,45.50531354,0.0,2011
AGO,Angola,86708999529.0,0.0,0.0,19.426137,0.0,2011
ALB,Albania,12231094665.0,0.0,96.84529877,106.0290146,0.0,2011
AND,Andorra,3199771534.0,0.0,0.0,178.193617,0.0,2011
ARG,Argentina,449062000000.0,42.3,99.10832977,15.22162868,0.0,2011
ARM,Armenia,9695518330.0,29.4,99.74440765,101.0038988,0.0,2011
ASM,American Samoa,577691630.0,0.0,0.0,276.6,0.0,2011
ATG,Antigua and Barbuda,1128507775.0,0.0,0.0,217.54318179999999,0.0,2011
AUS,Australia,1172310000000.0,0.0,0.0,2.90798641,0.0,2011
AUT,Austria,403347000000.0,30.8,0.0,101.6417364,0.0,2011
AZE,Azerbaijan,52937578302.0,0.0,99.77863312,110.9763389,0.0,2011
BDI,Burundi,2114083183.0,0.0,0.0,352.16152650000004,0.0,2011
BEL,Belgium,492244000000.0,28.1,0.0,364.5397622,0.0,2011
BEN,Benin,7176751732.0,43.4,0.0,83.90211068,0.0,2011
BFA,Burkina Faso,9575057058.0,0.0,0.0,58.77888889,0.0,2011
BGD,Bangladesh,122731000000.0,0.0,58.769180299999995,1182.391611,0.0,2011
BGR,Bulgaria,51579193177.0,34.3,98.35244751,67.68909359,0.0,2011
BHR,Bahrain,26223377132.0,0.0,0.0,1666.582856,0.0,2011
BIH,Bosnia and Herzegovina,17341498612.0,33.0,98.14203644,72.04814453,0.0,2011
BLR,Belarus,61820512466.0,27.2,0.0,46.686570399999994,0.0,2011
BLZ,Belize,1426937515.0,0.0,0.0,14.43191583,0.0,2011
BMU,Bermuda,5552579616.0,0.0,0.0,1195.629609,0.0,2011
BOL,Bolivia,20672314545.0,46.1,92.22615051,9.303372104,0.0,2011
BRA,Brazil,2296660000000.0,52.9,91.41123962,23.77163914,0.0,2011
BRB,Barbados,4559674767.0,0.0,0.0,652.5604651000001,0.0,2011
BTN,Bhutan,1710580807.0,0.0,0.0,19.42728991,0.0,2011
BWA,Botswana,13560031675.0,0.0,0.0,3.6196054560000004,0.0,2011
CAF,Central African Republic,2051568714.0,0.0,0.0,7.185066936,0.0,2011
CAN,Canada,1664150000000.0,0.0,0.0,3.7766253069999998,0.0,2011
CHE,Switzerland,593665000000.0,31.7,0.0,200.2327615,0.0,2011
CHI,Channel Islands,0.0,0.0,0.0,810.5909402999999,0.0,2011
CHL,Chile,231892000000.0,47.6,96.70301056,23.07009823,0.0,2011
CHN,China,6682400000000.0,42.4,0.0,143.1721085,0.0,2011
CMR,Cameroon,27223369236.0,0.0,0.0,43.41022403,0.0,2011
COL,Colombia,307168000000.0,53.5,93.58052826,41.82663001,0.0,2011
COM,Comoros,944282560.4,0.0,0.0,379.6716694,0.0,2011
CPV,Cabo Verde,1730365372.0,0.0,0.0,126.0712159,0.0,2011
CRI,Costa Rica,38873833296.0,48.7,97.40657806,90.09937329,0.0,2011
CUB,Cuba,66130664082.0,0.0,0.0,106.25428079999999,0.0,2011
CYM,Cayman Islands,0.0,0.0,0.0,235.74583330000002,0.0,2011
CYP,Cyprus,25665390728.0,32.6,98.67842865,121.73538959999999,0.0,2011
CZE,Czech Republic,211166000000.0,26.4,0.0,135.8892802,0.0,2011
DEU,Germany,3542160000000.0,30.5,0.0,230.3046333,0.0,2011
DJI,Djibouti,0.0,0.0,0.0,37.35707506,0.0,2011
DMA,Dominica,492719836.6,0.0,0.0,95.624,0.0,2011
DNK,Denmark,326300000000.0,27.3,0.0,131.2885223,0.0,2011
DOM,Dominican Republic,55674398434.0,47.7,90.10637665,207.557338,0.0,2011
DZA,Algeria,165869000000.0,27.6,0.0,15.45910049,0.0,2011
ECU,Ecuador,75028081292.0,45.9,91.5868988,61.11030359,0.0,2011
ERI,Eritrea,2300794306.0,0.0,0.0,44.30386139,0.0,2011
ESP,Spain,1417320000000.0,35.7,97.78375244,93.50783588,0.0,2011
EST,Estonia,20971721297.0,32.5,99.88578796,31.31490918,0.0,2011
ETH,Ethiopia,33279878090.0,0.0,0.0,90.046756,0.0,2011
FIN,Finland,254170000000.0,27.6,0.0,17.73099477,0.0,2011
FJI,Fiji,3225464090.0,0.0,0.0,47.45955118,0.0,2011
FRA,France,2700550000000.0,33.3,0.0,119.33511200000001,0.0,2011
